definition,aoa,category,lexical_category,lexical_class,uni_lemma
taste,27.03109026,action_words,predicates,verbs,taste
teacher,27.68695424,people,other,other,teacher
tear,28.92069925,action_words,predicates,verbs,tear
teddybear,22.76353645,animals,nouns,nouns,teddybear
telephone,20.63309508,household,nouns,nouns,telephone
thank you,17.64501095,games_routines,other,other,thank you
that,23.3797445,pronouns,function_words,function_words,that
the,26.87491328,quantifiers,function_words,function_words,the
their,31.08328757,pronouns,function_words,function_words,their
them,30.20786254,pronouns,function_words,function_words,them
then,30.63509539,connecting_words,function_words,function_words,then
there,25.09254771,locations,function_words,function_words,there
these,28.09224368,pronouns,function_words,function_words,these
they,29.74020853,pronouns,function_words,function_words,they
think,29.47475878,action_words,predicates,verbs,think
thirsty,25.16396493,descriptive_words,predicates,adjectives,thirsty
this,24.3427558,pronouns,function_words,function_words,this
this little piggy,26.1338384,games_routines,other,other,this little piggy
those,29.62176034,pronouns,function_words,function_words,those
throw,23.81304927,action_words,predicates,verbs,throw
tickle,22.81816597,action_words,predicates,verbs,tickle
tiger,23.28858403,animals,nouns,nouns,tiger
tights,30.66928147,clothing,nouns,nouns,tights
time,30.04212662,time_words,other,other,time
tiny,29.77934081,descriptive_words,predicates,adjectives,tiny
tired,25.19744233,descriptive_words,predicates,adjectives,tired
tissue/kleenex,24.13280003,household,nouns,nouns,kleenex
to,26.75458921,locations,function_words,function_words,to
toast,22.88536309,food_drink,nouns,nouns,toast
today,28.22835573,time_words,other,other,today
toe,20.41327842,body_parts,nouns,nouns,toe
tomorrow,28.17489095,time_words,other,other,tomorrow
tongue,22.6337334,body_parts,nouns,nouns,tongue
tonight,29.88485282,time_words,other,other,tonight
too,25.15320969,quantifiers,function_words,function_words,too
tooth,21.43362303,body_parts,nouns,nouns,tooth
toothbrush,21.04844197,household,nouns,nouns,toothbrush
touch,25.24997696,action_words,predicates,verbs,touch
towel,22.52002742,household,nouns,nouns,towel
toy (object),21.06077649,toys,nouns,nouns,toy (object)
tractor,24.66734368,vehicles,nouns,nouns,tractor
train,20.46982081,vehicles,nouns,nouns,train
trash,23.83170801,household,nouns,nouns,trash
tray,31.06443012,household,nouns,nouns,tray
tree,19.69215699,outside,nouns,nouns,tree
tricycle,28.20895098,vehicles,nouns,nouns,tricycle
truck,18.63359797,vehicles,nouns,nouns,truck
try/try to,27.74700491,helping_verbs,function_words,function_words,try
tummy,20.97722518,body_parts,nouns,nouns,tummy
tuna,29.18010354,food_drink,nouns,nouns,tuna
turkey,25.84038222,animals,nouns,nouns,turkey
turn around,25.46601605,games_routines,other,other,turn around
turtle,22.15828874,animals,nouns,nouns,turtle
tv,21.09256983,furniture_rooms,nouns,nouns,TV
uh oh,8.970917179,sounds,other,other,uh oh
uncle,25.35198277,people,other,other,uncle
under,25.91281872,locations,function_words,function_words,under
underpants,26.95073912,clothing,nouns,nouns,underpants
up,18.5070891,locations,function_words,function_words,up
us,30.95433033,pronouns,function_words,function_words,us
vacuum,23.98126347,household,nouns,nouns,vacuum
vagina*,30.72480756,body_parts,nouns,nouns,vagina
vanilla,30.17902415,food_drink,nouns,nouns,vanilla
vitamins,26.56348153,food_drink,nouns,nouns,vitamins
vroom,15.92193546,sounds,other,other,vroom
wait,25.65305168,action_words,predicates,verbs,wait
wake,25.96240356,action_words,predicates,verbs,wake
walk,21.99669024,action_words,predicates,verbs,walk
walker,32.61412765,household,nouns,nouns,walker
wanna/want to,24.38115262,helping_verbs,function_words,function_words,wanna
was,30.00021226,helping_verbs,function_words,function_words,was
wash,22.97061538,action_words,predicates,verbs,wash
washing machine,26.61190952,furniture_rooms,nouns,nouns,washing machine
watch (action),25.17715767,action_words,predicates,verbs,watch (action)
watch (object),23.81445159,household,nouns,nouns,watch (object)
water (beverage),18.63050072,food_drink,nouns,nouns,water (beverage)
water (not beverage),19.13729039,outside,nouns,nouns,water (not beverage)
we,28.96917104,pronouns,function_words,function_words,we
were,31.61415824,helping_verbs,function_words,function_words,were
wet,21.84164565,descriptive_words,predicates,adjectives,wet
what,23.32692526,question_words,function_words,function_words,what
when,30.15466264,question_words,function_words,function_words,when (question)
where,24.82264318,question_words,function_words,function_words,where (question)
which,32.098105,question_words,function_words,function_words,which
white,26.20386614,descriptive_words,predicates,adjectives,white
who,27.35547143,question_words,function_words,function_words,who
why,27.1955271,question_words,function_words,function_words,why
will,29.66838003,helping_verbs,function_words,function_words,will
wind,25.30321403,outside,nouns,nouns,wind
window,24.50882724,furniture_rooms,nouns,nouns,window
windy,26.57443924,descriptive_words,predicates,adjectives,windy
wipe,25.11185163,action_words,predicates,verbs,wipe
wish,31.25960587,action_words,predicates,verbs,wish
with,27.02411773,locations,function_words,function_words,with
wolf,27.67382915,animals,nouns,nouns,wolf
woods,31.33333347,places,other,other,woods
woof woof,13.55318794,sounds,other,other,woof woof
work (action),24.17183709,action_words,predicates,verbs,work (action)
work (place),23.30009784,places,other,other,work (place)
would,32.66431577,helping_verbs,function_words,function_words,would
write,26.32791987,action_words,predicates,verbs,write
yard,26.82524737,places,other,other,yard
yellow,23.5287515,descriptive_words,predicates,adjectives,yellow
yes,17.79202882,games_routines,other,other,yes
yesterday,30.90793522,time_words,other,other,yesterday
yogurt,22.87743925,food_drink,nouns,nouns,yogurt
you,23.50461647,pronouns,function_words,function_words,you
your,28.4380415,pronouns,function_words,function_words,your
yourself,32.02599047,pronouns,function_words,function_words,yourself
yucky,21.54810317,descriptive_words,predicates,adjectives,yucky
yum yum,14.27115075,sounds,other,other,yum yum
zebra,24.40859129,animals,nouns,nouns,zebra
zipper,24.04856927,clothing,nouns,nouns,zipper
zoo,25.05803484,places,other,other,zoo
